Exercise,Intensity,Start At,Duration,SpotifyTrack,Song

# WARM-UP
Warm-up,60,,,5spQSAvCWXVLVKilNq61Ug,One and Twain
Warm-up,70,,,08E01n3qw8epnCT5moeNDk,Amusem

# REP 1 (45/15)
Rep1.1a,120,,45,2LfMWfjk9wIGv9sGTjhg85,"The Trooper, Ouverture"
Rep1.1b,90,,15,,
Rep1.1b,120,,45,,
Rep1.1b,90,,15,,
Rep1.1b,120,,45,,
Rep1.1b,90,,15,,
Recover1,60,,
Recover1,60,,45,2tpgdrjuM8vqzgHrsCWKjc,"A whole lot of love"

# REP 2 (45/15) (A whole lot of love, above, starts up-beat at 45 seconds in).
Rep2.1a,120,,45,,
Rep2.1b,90,,15,,
Rep2.2a,120,,45,,
Rep2.2b,90,,15,,
Rep2.3a,120,,45,,
Rep2.3b,90,,15,,
Recover2,60,,,https://open.spotify.com/track/1fchpS3aISQTXNrG6R9ZTL

# REP 3 (45/15) (A whole lot of love, above, starts up-beat at 45 seconds in).
Rep3.1a,120,20,45,https://open.spotify.com/track/6Fkj6ymotXQx2SdcMg387v
Rep3.1b,90,,15,,
Rep3.2a,120,,45,,
Rep3.2b,90,,15,,
Rep3.3a,120,,45,,
Rep3.3b,90,,15,,
Recover3,60,,,https://open.spotify.com/track/0JyvKhW1dO2hahkXykuH84


# REP 4 (45/15)
Rep4.1a,130,39,30,https://open.spotify.com/track/41B5pgb2nOO4QYXAOaAQGm
Rep4.1b,90,,30,,
Rep4.2a,130,,30,,
Rep4.2b,90,,30,,
Rep4.3a,130,,30,,
Rep4.3b,90,,30,,
Recover4,60,,,https://open.spotify.com/track/5y1Pso4cImNBBAL29iKMYt

# REP 5 (45/15)
Rep5.Prep,130,,49,https://open.spotify.com/track/4gbuxW37pErm2qma67CGS8
Rep5.1a,130,,30,
Rep5.1b,90,,30,,
Rep5.2a,130,,30,,
Rep5.2b,90,,30,,
Rep5.3a,130,,30,,
Rep5.3b,90,,30,,
Recover5,60,,,https://open.spotify.com/track/6OIFsi2ov9nSjRrnJWVZIM

# REP 6 (45/15)
Rep6.1a,130,,30,https://open.spotify.com/track/7h54sRwXtNUCmsT4pDHFUU
Rep6.1b,90,,30,,
Rep6.2a,130,,30,,
Rep6.2b,90,,30,,
Rep6.3a,130,,27,,
Rep6.3b,90,120,33,https://open.spotify.com/track/7jF9Nroko5wL0lf6LCUQ7K
Recover6,60,,,https://open.spotify.com/track/1xB7YdTKvUzO4bOjN6QAW8

# REP 7 (45/15)
Rep7.Prep,140,,54,https://open.spotify.com/track/5wq3d59o8ZszZIR8obekUs
Rep7.1a,140,,15,
Rep7.1b,90,,45,,
Rep7.2a,140,,15,,
Rep7.2b,90,,45,,
Rep7.3a,140,,15,,
Rep7.3b,90,,45,,
Recover7,60,,,https://open.spotify.com/track/0JZSr7umsr7xjq16o1uDKo


# REP 8 (45/15)
Rep8.Prep,140,,60,https://open.spotify.com/track/6SlKt6RzRvQIWSiRb9DuqM
Rep8.1a,140,,15,
Rep8.1b,90,,45,,
Rep8.2a,140,,15,,
Rep8.2b,90,,45,,
Rep8.3a,140,,15,,
Rep8.3b,90,,45,,
Recover8,60,,,https://open.spotify.com/track/5UFrac25AO2iTF7OfLXMA9

# REP 9 (45/15)
Rep9.Prep,140,,30,https://open.spotify.com/track/1taz71WL8grTxW6JLiL1i8
Rep9.1a,140,,15,
Rep9.1b,90,,45,,
Rep9.2a,140,,15,,
Rep9.2b,90,,45,,
Rep9.3a,140,,15,,
Rep9.3b,90,,45,,
Recover9,60,,,https://open.spotify.com/track/0bt22Pke8uyTr7az9pseW9


